arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
learned,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.07308103144168854,0.11194493621587753,0.0,60,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.07308103144168854,0.11194493621587753,0.0,60,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.03147166967391968,0.058457277715206146,0.0,0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.03147166967391968,0.058457277715206146,0.0,0,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.03147166967391968,0.058457277715206146,0.0,0,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.0806102305650711,0.1049778163433075,0.0,12,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.0806102305650711,0.1049778163433075,0.0,12,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.0806102305650711,0.1049778163433075,0.0,12,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.08949890732765198,0.11213713884353638,0.0,24,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.08949890732765198,0.11213713884353638,0.0,24,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.08949890732765198,0.11213713884353638,0.0,24,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07904086261987686,0.10935927927494049,0.0,36,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07904086261987686,0.10935927927494049,0.0,36,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07904086261987686,0.10935927927494049,0.0,36,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07516661286354065,0.11117558926343918,0.0,48,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07516661286354065,0.11117558926343918,0.0,48,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07516661286354065,0.11117558926343918,0.0,48,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07678475230932236,0.10554341971874237,0.0,60,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07678475230932236,0.10554341971874237,0.0,60,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_02,0,0,0.07678475230932236,0.10554341971874237,0.0,60,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.05258866026997566,0.08494175970554352,0.0,0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.05258866026997566,0.08494175970554352,0.0,0,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.05258866026997566,0.08494175970554352,0.0,0,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.059407204389572144,0.08821120858192444,0.0,12,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.059407204389572144,0.08821120858192444,0.0,12,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.059407204389572144,0.08821120858192444,0.0,12,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.09504508227109909,0.11552256345748901,0.0,24,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.09504508227109909,0.11552256345748901,0.0,24,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.09504508227109909,0.11552256345748901,0.0,24,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.08888557553291321,0.11030592024326324,0.0,36,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.08888557553291321,0.11030592024326324,0.0,36,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.08888557553291321,0.11030592024326324,0.0,36,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.0770362913608551,0.10912314057350159,0.0,48,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.0770362913608551,0.10912314057350159,0.0,48,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.0770362913608551,0.10912314057350159,0.0,48,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.0756305530667305,0.11317341774702072,0.0,60,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.0756305530667305,0.11317341774702072,0.0,60,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.0756305530667305,0.11317341774702072,0.0,60,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.07642748951911926,0.10479727387428284,0.0,72,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001185_07,0,0,0.07642748951911926,0.10479727387428284,0.0,72,R2,0.0,0.0
