comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_zero,RELLIS-3D,-9.604784845240744e-08,6.585714962259459e-08,-2.726873663760898e-06,0.0,00003_000455_04
learned_minus_fixed,RELLIS-3D,1.0314790409582386e-06,-9.970093407529745e-07,2.3399440525651016e-05,0.0,00003_000455_04
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000455_05
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000455_05
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000455_06
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000455_06
learned_minus_zero,RELLIS-3D,3.01836452887283e-07,-6.690072525961099e-07,-1.338747248169625e-06,0.0,00003_000455_07
learned_minus_fixed,RELLIS-3D,-3.116494772859024e-06,8.32547253049043e-06,3.414416527469655e-05,0.0,00003_000455_07
learned_minus_zero,RELLIS-3D,1.7681468178487592e-07,-1.25564956399149e-06,-1.6081636807996347e-05,0.0,00003_000611_01
learned_minus_fixed,RELLIS-3D,-1.8718106255533051e-06,1.2513066527386485e-05,0.00015622053684438697,0.0,00003_000611_01
learned_minus_zero,RELLIS-3D,1.502314678214489e-08,7.775209076577028e-07,1.628331369118996e-05,0.0,00003_000611_02
learned_minus_fixed,RELLIS-3D,-1.4952412896729328e-07,-8.240052925545527e-06,-0.00017217784161260852,0.0,00003_000611_02
learned_minus_zero,RELLIS-3D,3.538134207836663e-08,-1.7151034814588684e-08,8.880030915037196e-07,0.0,00003_000611_04
learned_minus_fixed,RELLIS-3D,-4.701636006632093e-07,-7.60989796511069e-07,-2.6991938813836214e-05,0.0,00003_000611_04
learned_minus_zero,RELLIS-3D,-1.1660643794986214e-07,4.364916255106266e-07,4.115993419873121e-06,0.0,00003_000611_05
learned_minus_fixed,RELLIS-3D,1.3582352286767296e-06,-5.367883515128291e-06,-5.329092631001231e-05,0.0,00003_000611_05
learned_minus_zero,RELLIS-3D,2.35562936601319e-07,-1.3459164005524826e-07,6.026700319239353e-06,0.0,00003_000611_06
learned_minus_fixed,RELLIS-3D,-2.472282508769741e-06,1.8478491453643997e-06,-5.6150605500349116e-05,0.0,00003_000611_06
learned_minus_zero,RELLIS-3D,-9.593179189915091e-08,-9.949889512306243e-08,-4.5940397992438875e-06,0.0,00003_000611_07
learned_minus_fixed,RELLIS-3D,1.0879770132588007e-06,1.0953284073078606e-06,5.1553325922881754e-05,0.0,00003_000611_07
learned_minus_zero,RELLIS-3D,6.107485034378968e-08,2.7829292592596033e-07,5.81443514313662e-06,0.0,00003_000680_00
learned_minus_fixed,RELLIS-3D,-8.012318777894656e-07,-3.795666233430417e-06,-7.827007926408669e-05,0.0,00003_000680_00
learned_minus_zero,RELLIS-3D,8.734318213132752e-08,1.7987106692984867e-07,5.903508071725128e-06,0.0,00003_000680_02
learned_minus_fixed,RELLIS-3D,-1.0135321949489295e-06,-2.5390689514237508e-06,-7.642281694764108e-05,0.0,00003_000680_02
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000680_03
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000680_03
learned_minus_zero,RELLIS-3D,-9.316892479738215e-08,5.798077601371077e-07,7.200820054009682e-06,0.0,00003_000680_04
learned_minus_fixed,RELLIS-3D,9.196800015431883e-07,-5.372144136206458e-06,-6.448649208579127e-05,0.0,00003_000680_04
learned_minus_zero,RELLIS-3D,4.520432566046395e-07,1.9729641698162936e-08,1.6990870577160422e-05,0.0,00003_000680_05
learned_minus_fixed,RELLIS-3D,-4.748362623985258e-06,-5.484519594034509e-08,-0.0001757045493775422,0.0,00003_000680_05
learned_minus_zero,RELLIS-3D,1.7078916531021449e-07,-3.3911096308791855e-07,-3.749550678833202e-07,0.0,00003_000680_07
learned_minus_fixed,RELLIS-3D,-1.9396270608540433e-06,3.893207232041895e-06,5.080065616169804e-06,0.0,00003_000680_07
learned_minus_zero,RELLIS-3D,-9.060254813064716e-08,-2.579074219299926e-06,-3.946305013791118e-05,0.0,00003_000831_00
learned_minus_fixed,RELLIS-3D,1.0566353755292468e-06,2.9421519689321052e-05,0.0004508147159789644,0.0,00003_000831_00
learned_minus_zero,RELLIS-3D,4.010248004782113e-07,1.0056148330717107e-06,3.8565426351055976e-05,0.0,00003_000831_01
learned_minus_fixed,RELLIS-3D,-4.6961506327547475e-06,-1.1918410775746402e-05,-0.0004545277001568593,0.0,00003_000831_01
learned_minus_zero,RELLIS-3D,-6.044837908003586e-09,-1.612506572712391e-07,-2.9062380288991108e-06,0.0,00003_000831_03
learned_minus_fixed,RELLIS-3D,1.2263012483249014e-07,3.2682063811906303e-06,5.8906805593395006e-05,0.0,00003_000831_03
learned_minus_zero,RELLIS-3D,-2.7232854012404495e-06,-2.463083791370835e-07,-9.600719391045232e-05,0.0,00003_000831_04
learned_minus_fixed,RELLIS-3D,4.474467251575076e-05,4.715992126813617e-06,0.0015888276482378672,0.0,00003_000831_04
learned_minus_zero,RELLIS-3D,-7.165774627004851e-07,2.8422723197252253e-06,1.7960197769895103e-05,0.0,00003_000831_05
learned_minus_fixed,RELLIS-3D,1.0140312220019432e-05,-4.182877151781561e-05,-0.0002761774783941462,0.0,00003_000831_05
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000831_06
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000831_06
learned_minus_zero,RELLIS-3D,-1.234627846069536e-07,-2.048187521364042e-06,-4.9405135943203504e-05,0.0,00003_000831_07
learned_minus_fixed,RELLIS-3D,1.5605342185698312e-06,2.5763360338326713e-05,0.0006217782982425035,0.0,00003_000831_07
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000938_00
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000938_00
learned_minus_zero,RELLIS-3D,-5.331268104757925e-08,-2.6475296843742058e-08,-2.374278960104448e-06,0.0,00003_000938_01
learned_minus_fixed,RELLIS-3D,6.160668792332125e-07,2.83355004793151e-07,2.7034891367350156e-05,0.0,00003_000938_01
learned_minus_zero,RELLIS-3D,1.8521624467471298e-07,8.9908834766117e-07,3.159177468958774e-05,0.0,00003_000938_02
learned_minus_fixed,RELLIS-3D,-2.4874084411097286e-06,-1.1274610703715382e-05,-0.0004027840618441303,0.0,00003_000938_02
learned_minus_zero,RELLIS-3D,1.0581012399590861e-08,9.42310037221894e-07,2.0178201573628485e-05,0.0,00003_000938_03
learned_minus_fixed,RELLIS-3D,-1.9474045809264595e-07,-1.1715175249338294e-05,-0.0002529882769444214,0.0,00003_000938_03
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000938_04
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000938_04
learned_minus_zero,RELLIS-3D,3.002504863069966e-07,1.9903723114111926e-07,1.6332108028649372e-05,0.0,00003_000938_05
learned_minus_fixed,RELLIS-3D,-3.818017525081263e-06,-2.615095288871494e-06,-0.00020946471021687785,0.0,00003_000938_05
learned_minus_zero,RELLIS-3D,3.5987861024544543e-09,2.4603760262476015e-07,3.3147784783693623e-06,0.0,00003_000938_06
learned_minus_fixed,RELLIS-3D,7.064767609810119e-08,-2.2398121932720727e-06,-2.6996270138468503e-05,0.0,00003_000938_06
learned_minus_zero,RELLIS-3D,5.3570186175910806e-08,-1.566331957469913e-07,-1.7792969337904196e-06,0.0,00003_000938_07
